,date,time,comp,day,gf_home,xg_home,xga_home,sh_home,sot_home,dist_home,sca_home,gca_home,home,away,gf_away,xg_away,xga_away,sh_away,sot_away,dist_away,gca_away,sca_away,season,year,result,result_numeric,home_points,away_points,home_win,away_win,gf_home_rolling_avg,sh_home_rolling_avg,sot_home_rolling_avg,dist_home_rolling_avg,xga_home_rolling_avg,sca_home_rolling_avg,gca_home_rolling_avg,home_points_rolling_avg,home_win_rolling_avg,gf_away_rolling_avg,sh_away_rolling_avg,sot_away_rolling_avg,dist_away_rolling_avg,xga_away_rolling_avg,sca_away_rolling_avg,gca_away_rolling_avg,away_points_rolling_avg,away_win_rolling_avg,home_conversion_rate,away_conversion_rate
1343,2024-01-30,,,,,,,,,,,,Nottingham Forest,Arsenal,,,,,,,,,,,,,,,,,1.8,10.8,3.6,15.84,1.9,20.4,3.2,1.8,0.6,1.6,14.4,4.0,17.26,1.6600000000000008,26.2,2.0,0.6,0.2,0.16666666666666666,0.11111111111111112
1344,2024-01-30,,,,,,,,,,,,Fulham,Everton,,,,,,,,,,,,,,,,,1.8,12.2,4.0,16.419999999999998,2.0,21.2,3.0,1.8,0.6,1.6,14.8,3.4,17.08,1.6800000000000008,26.4,2.0,0.6,0.2,0.1475409836065574,0.10810810810810811
1345,2024-01-30,,,,,,,,,,,,Luton Town,Brighton,,,,,,,,,,,,,,,,,2.0,11.6,4.2,15.719999999999999,1.6,19.2,3.2,1.8,0.6,1.0,14.8,3.4,16.06,1.6200000000000006,27.0,1.4,0.2,0.0,0.1724137931034483,0.06756756756756756
1346,2024-01-30,,,,,,,,,,,,Crystal Palace,Sheffield Utd,,,,,,,,,,,,,,,,,2.0,11.6,4.0,15.36,1.54,19.6,3.4,1.8,0.6,0.6,11.8,3.2,16.0,1.4200000000000006,21.6,1.0,0.2,0.0,0.1724137931034483,0.05084745762711864
1347,2024-01-30,,,,,,,,,,,,Aston Villa,Newcastle Utd,,,,,,,,,,,,,,,,,2.4,13.8,4.8,16.24,1.3,24.6,4.4,2.4,0.8,0.6,10.8,3.2,16.3,2.6000000000000005,19.2,1.0,0.2,0.0,0.17391304347826086,0.05555555555555555
1348,2024-01-31,,,,,,,,,,,,Tottenham,Brentford,,,,,,,,,,,,,,,,,2.6,14.6,5.6,15.52,1.48,26.2,4.8,2.4,0.8,0.6,10.0,3.4,16.419999999999998,2.5600000000000005,18.2,1.2,0.2,0.0,0.17808219178082194,0.06
1349,2024-01-31,,,,,,,,,,,,Manchester City,Burnley,,,,,,,,,,,,,,,,,2.6,15.2,5.6,15.36,1.22,28.0,5.0,2.4,0.8,1.0,9.8,4.4,15.360000000000003,2.820000000000001,18.2,2.0,0.2,0.0,0.17105263157894737,0.1020408163265306
1350,2024-01-31,,,,,,,,,,,,Liverpool,Chelsea,,,,,,,,,,,,,,,,,3.0,18.6,6.8,16.28,1.0399999999999998,34.4,6.0,3.0,1.0,1.6,7.8,4.4,15.98,3.1400000000000006,14.0,2.8,0.6,0.2,0.16129032258064516,0.20512820512820515
1351,2024-02-01,,,,,,,,,,,,West Ham,Bournemouth,,,,,,,,,,,,,,,,,2.4,17.2,6.0,16.24,1.22,31.6,4.8,2.6,0.8,1.8,11.8,4.8,16.439999999999998,3.160000000000001,20.6,3.2,0.6,0.2,0.13953488372093023,0.15254237288135591
1352,2024-02-01,,,,,,,,,,,,Wolves,Manchester Utd,,,,,,,,,,,,,,,,,2.4,16.0,6.0,15.539999999999997,1.06,28.8,4.8,2.6,0.8,1.6,12.8,5.2,16.72,1.9000000000000008,22.8,2.8,0.6,0.2,0.15,0.125
